product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
SIA-MAK044-1KT,FREE FATTY ACID QUANTITATION KIT,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-NIST1649B,URBAN DUST,531,Drugs & Metrological Institutes,Reference Materials (RM),C47,LR2,Chemistry
SUP-PHR1342-500MG,SUCRALOSE,531,Drugs & Metrological Institutes,Reference Materials (RM),C47,LR2,Chemistry
SIA-S3252-100G,"TIN(II) 2-ETHYLHEXANOATE, 92.5 - 100.0%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-S5261-100G,"SODIUM SELENITE BIOREAGENT, SUITABLE &",694,Cell Culture Essentials,Cell Biology Reagents,C17,LR4,Biology
SIA-SBR00041-2MG,CEFIDEROCOL,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-T4549-100ML,TRYPSIN SOLUTION FROM FROM PORCINE PANC&,694,Cell Culture Essentials,Cell Biology Reagents,C17,LR4,Biology
219557-5MG,"CERULENIN, CEPHALOSPORIUM CA 1PC X 5MG",760,Protein Prep & Reagents,Molecular Reagents & Tools,C61,LR4,Biology
309800-25MG,Dihydroethidium 1PC x 25MG,760,Protein Prep & Reagents,Molecular Reagents & Tools,C61,LR4,Biology
324506-100ML,"EDTA, 0.5 M, pH 8.0, Molecul 1PC x 100ML",499,BioChem Core,Biochemistry,C35,LR2,Chemistry
369080-1KG,"Guanidine Hydrochloride, Mol 1PC x 100GM",499,BioChem Core,Biochemistry,C35,LR2,Chemistry
481913-1GM,"NADH, Disodium Salt 1PC x 1GM",P82,PM BioChem Core,PM Chemistry Production Materials,DM1,LA4,Diagnostics & Regulated Materials
UFC501008,OmniPur® Guanidine Hydrochl 1PC X 1KG,P82,PM BioChem Core,PM Chemistry Production Materials,DM1,LA4,Diagnostics & Regulated Materials
SIA-X3877-25G,D-(+)-XYLOSE BIOXTRA,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
100030.2500,ACETONITRILE GRADIENT GRADE FOR LIQUID C,526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
104967.0250,POTASSIUM CYANIDE FOR ANALYSIS EMSURE,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
105051.0100,POTASSIUM IODATE FOR ANALYSIS EMSURE,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
108176.0005,THYMOL BLUE INDICATOR ACS 5 G,737,Safety & Essentials,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109257.0500,COMBICOULOMAT FRITLESS KARL FISCHER REAG,527,Analytical Technologies,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109406.1000,BUFFER SOLUTION PH 4.01 1 L,533,"Additional, Phys Prop & Matrix",Reference Materials (RM),C47,LR2,Chemistry
119788.0500,MAGNESIUM STANDARD SOLUTION TRACEABLE TO,532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
119812.0500,AMMONIUM IC-STD 1000 MG/L 500 ML,532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
188054.0005,WATER STANDARD OVEN 1% SOLID STANDARD FO,532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
802800.0100,E-CAPROLACTAM FOR SYNTHESIS 100 G,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
802824.0100,CYCLOHEXENE (STABILIZED) FOR SYNTHESIS,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-19671-100G,"4-TERT-BUTYLCATECHOL, >=99.0%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-237957-25G,"YTTRIUM(III) NITRATE HEXAHYDRATE, 99.8%&",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-328022-1G,"4-METHYLHIPPURIC ACID, 98%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
219458-25GM,D(+)Cellobiose 1PC x 25GM,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
103053.2500,"N,N-DIMETHYLFORMAMIDE FOR ANAL. EMSURE®",736,Classical Solvents for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106268.0250,SODIUM ACETATE ANHYDROUS FOR ANALYSIS,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106308.1000,DI-SODIUM TETRABORATE DECAHYDRATE GR ACS,525,Elemental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106448.1000,TRI-SODIUM CITRATE DIHYDRATE P.A. EMSURE,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106687.0001,SODIUM AZIDE TABLETS FOR THE PRESERVATIO,529,Mobile and Photometry Workflows,Analytical Chemistry & Solvents,C45,LR2,Chemistry
107297.0010,PHTHALEIN PURPLE METAL INDICATOR,737,Safety & Essentials,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109147.1000,SODIUM THIOSULFATE SOLUTION 1 L,527,Analytical Technologies,Analytical Chemistry & Solvents,C45,LR2,Chemistry
109406.0500,BUFFER SOLUTION PH 4.01 500 ML,533,"Additional, Phys Prop & Matrix",Reference Materials (RM),C47,LR2,Chemistry
111714.0001,"3-(4,5-DIMETHYL-2-THIAZOLYL)-2,5-DIPHENY",777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
801276.0250,PIVALOYL CHLORIDE FOR SYNTHESIS,650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
['MAB8599'],"RSV FUSION, MS X 131-2A -100UL",640,Diagnostic Bulk and Custom (CF),Critical Raw Materials,AS5,LA4,Diagnostics & Regulated Materials
"['AB5308', 'MAB1563', 'MAB5232']","PRESENILIN-1 (N-TERM), RT X-100UL",696,Antibody Technologies,Protein & Pathway Analysis,C16,LR4,Biology
['MABN92'],Anti-Iba1/AIF1,696,Antibody Technologies,Protein & Pathway Analysis,C16,LR4,Biology
None,"Anti-NeuN, clone 13E6 ZooMAb™ Rb Mono",696,Antibody Technologies,Protein & Pathway Analysis,C16,LR4,Biology
SUP-16587-10MG,SIAL Material 16587-10MG,530,Endogenous Metabolites And Natural Products,Reference Materials (RM),C47,LR2,Chemistry
SUP-17263-100MG,"METHYL CIS-11-EICOSENOATE, STANDARD FOR",532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
SUP-19051-100ML-F,"Calcium Standard Solution, 1000 mg/L Ca",532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
SIA-205699-10G,PALLADIUM ON ACTIVATED CARBON (10% PD),774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-214981-800ML,"DIISOBUTYLALUMINUM HYDRIDE, 1.0M SOLUTIO",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-21884-100MG,"5(6)-CARBOXY-2',7'-DICHLORO&",035,Detection systems and reagents,Molecular Materials,AS1,LA4,Diagnostics & Regulated Materials
