product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
110013.0001,SULFITE TEST 10 - 40 - 80 - 180 - 400 MG,519,Rapid Chemical Testing,Analytical Chemistry & Solvents,C45,LR2,Chemistry
114282.0500,PALLADIUM STANDARD SOLUTION 500 ML,532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
808236.1000,"1,1',1""-NITRILOTRI-2-PROPANOL FOR SYNTHE",650,Organics,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-221945-5G,Kaliumjodid 99 +% A.C.S. Reagenz,778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-295884-2L,"O-XILENO, PARA HPLC, 98%",526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SUP-61699-1L,HIDROXIDO DE POTASIO ESTANDAR PARA CROMA,524,Organic Analysis & Sensorics,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-O7252-25G,"ORANGE G, CERTIFIED",790,H & H - Red,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
SIA-Z738603-1EA,OmniPur® DTT [Dithiothreito 1PC X 5GM,499,BioChem Core,Biochemistry,C35,LR2,Chemistry
100003.1000,ACETONITRILE FOR ANALYSIS EMSURE®,736,Classical Solvents for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
100021.0009,ACETONE-D6 DEUTERATION DEGREE MIN. 99.8%,480,Solvents for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106528.0100,SODIUM DISULFITE (SODIUM METABISULFITE),702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
