Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
1461950200,Tr. Soy Cont. A. w. LT-ICR 2284E-200P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463800010,Tryptic Soy B. acc. EP+USP 502100SD-10P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5748260001,Filter Set Steripak-GP Press 5 SETS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
AP10045S0,Sterile pads 45mm 1000/Pk           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MISP00014,MICROFIL SPARE P O-RING KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZA000010,Steridilutor® NEO LIQUID TRANSFER           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA000P2M,Yeast and Mold Liquid Media Ampoule         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPELVHP,MILLIFLEX VHP ELECTRIC HUB CLOSING PLATE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFLEA1,ST SYMBIO ACCESSOR FLEX 2 MED         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM6600000107,"SENSOR, LEVEL, WASH BUFFER           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1021360001,ENVIROCHECK CONTACT C (TOTAL COLIFORMS/E          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054545000,BRILA broth 5 KG           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1092230001,TRIPOD QUICK F/MAS A.SAMPLER 1 UNIT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1105820500,Sodium chlor. peptone broth 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1324119025,"Meat extract dry, powder, fo 25 KG        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1401975000,Demi FRASER Broth + antibiot 5 KG        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1466840020,TSA LT 90mm ICR+ 0721-20P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZSPKIT01,EZ-PAK DISP 2 SPARE P-KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX6320004,THERMOMETER -1 EA            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0MTC0VR,MAINTENANCE COVER FOR EQUINOX           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
KMEFHAW25B,"EZFIT Mani w/ 4 bx EZFIT, 250ml, blk       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MAVFEFT,MAS-100 VF e-Functionality Testing Repor          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMH0R07,MAS Iso MH hose fitting 1.5x11.5 O-ring        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM00100000564,"PIPETTOR, PUMP, PRIME            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1016175000,BRYANT UND BURKEY BROTH (TYROBUTYRICUM B         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1102350500,SPS AGAR ANGELOTTI PERFRINGENS SELECTIVE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1191530001,MAS-100 Regulus 1 PC           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441500001,Carrying Case 1 ST           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1453630001,"Sealing Plug, RCS Plus 1 PC         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EZHAGG474,EZ-PAK HAGG 47MM DIAMETER           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SB00FEET4,PUMP FEET FOR SYMBIO           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBGUIDRTR,KIT OF 2 ROLL GUIDES FOR ROTOR        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBC0MC0NN,CONNECTOR & CABLE KIT FOR COMM UNIT        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFLE01JP,STERITEST SYMBIO FLEX 2 M JP         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PMTRAINR21,PyroMAT e-learning - how to use - Russia       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMHLDSWTC,MFX Oasis Microswitch.2            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1022390500,PEPTONE FROM CASEIN PANCREATICALLY DIGES          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054430500,NUTRIENT BROTH FOR MICROBIOLOGY (8 G FOR        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1094400001,"MAS-100 Iso NT® Tri-Clamp, S 1 PC        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1107070500,KF STREPTOCOCCI AGAR (BASE) FOR MICROBIO         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1109870500,PHENOL-RED BROTH (BASE) FOR MICROBIOLOGY          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1440240020,"Blank Strip Kit, Contact Slides          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1462690020,Plate Count Agar 306E-20P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467490001,Veg. Peptone Broth 10l Lynx 1PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX6370000,U/V STERILIZER 115V/60HZ            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MSSM10001,SOLID MEDIA MILLISNAP ADAPTER (100mL)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQTRYPLUG,DRAIN TRAY PLUG            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQKITSTI,"Stickers: for button, right, Milliflex Q         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCURVCHA,EXTERNAL POWER SUPPLY/CHARGER FORBATTERY           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQISVAL11,Equinox Isolator on-site IQ/OQ service          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHVW10IS,"EZ-Fit 0,45µm,PVDF whi,100 ml, no pad,si         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
