Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
SYMBDTC01,ST SYMBIO DR TRAY CONT LFH 2        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
900000271032,MAS-100 NT OS verif w/o service plan        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000021404,Mfx Quantum  Remote Operator Training          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASEC0B0T,Bottom plate for MAS-100 Eco          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASCGTKIT,MAS-100 CG EX tube kit          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMHVMFX24,Mfx Oasis RAPID funnel           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMTRAIN22,Milliflex Oasis e-learning - IQ/OQ          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054130500,ROGOSA AGAR LACTOBACILLUS SELECTIVE AGAR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1173640001,Silicone Gasket 34/10mm for 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441510001,Carrying Case 1 ST           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442280040,Agar Strips TCI-y 40 UNITS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463030100,SDA acc. EP+USP 3351R-100P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465590020,Columbia Blood Agar Pharm. 109PH-20P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467160120,MTLA - LI 120P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
32043-50,VIP Gold Salmonella Positive Control          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5553490001,Large Bag Holder DiluCult & 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZHVDV210,Steritest® NEO POWDERS VIAL PVDF          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX63000PK,WATER TEST KIT ACCESSORIES..           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFREAD01UK,EZ-Fluo Reader Kit (UK)           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
QUAPMSTD01,Mfx Quantum Prev Maint w/o contract         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MTBMFXKIT,MILLIFLEX PLUS PUMP SPECIFIC TOOLS KIT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBBTH01,ST SYMBIO COMP BOTTLE HOLDER          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ATPMSTD01,MAS-100 Atmos®  additional preventive ma          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07620000700,"PUMP, VACUUM, WASHER            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78025,Power Button             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1037909025,Linden Grain Medium (Base) f 25 KG        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1041400001,SINGLEPATH SALMONELLA RAPID TEST FOR THE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054630500,Plate Count 500 G           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPC0RD1,PC EXPORT DATA CORD PUMPS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ASINSTL12,Air Monitoring Product Install/Training           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MILSNLAT0,MILLISNAP LATCH OLD            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ESMEDEV02,METHOD DEVELOPMENT FOR EZ-FLUO SYSTEM          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFKIT001US,"EZ Fluo reader, camera and US power cord       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBISL01UK,STERITEST SYMBIO ISL 2 MED UK         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBC0MPWBD,POWER PCB FOR SYMBIO COMMUNICATION HUB         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMSYSTVAC,Milliflex Oasis pump without heads          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MATMIQOQPP,MAS-100 Atmos Printable Validation Proto          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASVFB0LT,Distance bolt M5x90 for MAS-100 VF         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1108640500,Iron sulfite Agar (ISA) 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1191540001,Perforated lid stainless ste 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1453700001,Engine Bearing Rear RCS 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1458370001,"Display Module V2 RCS HFT 1X6,5X1CM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1464710006,NaCl Peptone Buffer w. LTHTh 591090-W-6P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX6320230,POWER SUPPLY 230V            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
JBRMABG05505,MONITOR 55+ AABG STERILE 50/PK BULK         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITEXTE3,EZFIT MANIFOLD HEIGHT EXTENSION 3 UNITS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ00PWPCB,EQUINOX POWER SUPPLY PCB           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBINSTKIT,INSTALLATION TOOLS FOR ISL/FLEX           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RCSPMSTD05,End Of Life Verification for RCS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSTRAINS21,Assurance GDS e-learning - how to use -       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000073851,"Cover for Oasis VHP pump san kit, 1 PC      ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MASEC0BAC,MAS Eco complete battery holder          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASVFUSBB,Blind USB B            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASEXBRAC,SH bracket for slitplate MAS-100 NT /Ex        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79199,PIPETMAX 268 PIPETTE ASSEMBLY COVER SET         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9019365,"Solenoid, LID LOCK ASSEMBLY           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1054100500,REINFORCED CLOSTRIDIAL AGAR (RCM) FOR MI         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1072125000,PEPTONE FROM SOYMEAL PAPAIC-DIGESTED FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1072284590,"Buffered Peptone Water 4,59 KG          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1114710500,DEV NUTRIENT AGAR FOR MICROBIOLOGY (43 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1171820001,MAS-100 Iso NT® Power Supply 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441880002,Calibration External Probe            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1461950020,Tr. Soy Cont. A. w. LT-ICR 2284E-20P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463340030,Tryptic Soy Broth acc EP+USP -30P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXSMCMC24,MILLIFLEX AGAR CASSETTE (MAC CONKEY)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPCLKT1,MILLIFLEX RAPID CLEANING KIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPC0NN01,ELECTRONIC CONNECTOR KIT FOR MFX+ PUMP         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZSH0USIN1,HOUSING KIT             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBCBH01,ST SYMBIO BOTTLE HOLDER BASKET          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000019718,Calibration tool for MAS-100 Atmos          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000020584,PyroMAT e-learning - how to use - Japane       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000021165,"PCB-Mainboard w/ resistor BioControl, RG          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM06100000410,"CABLE, LVDS, MONITOR            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07990410001,"PCB, NEEDLE ADAPTER DT           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9019340,"LED, BLUE (470), RGQ           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1001880004,RAMBACH Agar 1 SET           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1016141000,AGAR-AGAR PURIFIED AND FREE FROM INHIBIT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1090230500,"GRIESS-ILOSVAY""S REAGENT FOR DETECTION O          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EZHABG504,EZ-PAK HABG DIAMETER 50MM Q600          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQIFVAL11,Equinox Isofit on-site IQ/OQ service          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ASPMMEX101,MAS-100 NT Ex OS Essential Service Plan        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASCGDACA,Data cable for Mas-100 CG Ex         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MBVA05-5009-02,Repair service of NiMH-Battery-Pack for          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1037500500,YEAST EXTRACT AGAR FOR MICROBIOLOGY (35         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1106640500,TEST AGAR PH 8 FOR THE INHIBITOR TEST       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1401979010,Demi FRASER Broth + antibiot 10 KG        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1455280001,"Carrying Case, RCS Plus 1 PC         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
CNHASV310,STERISECURE STERILITY TESTING DEVICE FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
STBMRFK34,300ml Fluid K 4/PK           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPKT110,MILLIFLEX RAPID KIT 110V WITH COMPUTER         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
QNHPMSTD11,Equinox LFH OS Prev Maint w/o contract        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQILPMKIT,SERVICE KIT FOR STERITEST EQUINOX ISL         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXP1VAL11,Mfx Plus 1 head on-site IQ/OQ service        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBWSS01,STERITEST SYMBIO OVERFILL SENSOR STRAP          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFPMSTD15,EZ-Fluo OS verif w/o service plan         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MAVFVAL11,MAS-100 VF on-site IQ/OQ service          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074750,Mfx Quantum IQ OQ Printable Protocol         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07620010300,"ASSY., PCB, COP, LOADING BAY          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
940000010654,MAS-100 Atmos Screw connection to Venus         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
940000010657,MAS-100 Atmos Hardware key reader          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MBVA06800401,Flow Sensor - MAS100 NT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1150450500,MEAT LIVER AGAR FOR THE CULTIVATION OF A       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1173350001,Plate Holder for MAS-100 Atm 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1191660001,Perforated lid alu 400x0.7 m 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441320001,Lithium-ion Battery 1 ST           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441450001,Power Supply 1 ST           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441530001,PyroDetect System 1 PC           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463140020,Thioglycollate Broth w. LTH -20P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464800070,Buff. NaCl-Pept. Sol. acc EP -70P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MSP000489,MILLIFLEX 100ML FILTRATION UNITS (HAWG)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPDT110,MILLIFLEX RAPID DETECTION TOWER 110V          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
QSMEDEV03,Milliflex Quantum Method developmen           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBGUIDTUB,TUBING GUIDES FOR SYMBIO           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFGSW10IS,"EZ-Fit 0,22µm ,MCE whi,100 ml, no pad,si        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RDYSTRM50,ReadyStream® Front shield cover           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHDSCA,MAS Iso MH connecting cable D-Sub         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
DLCKEYPAD,DiluCult 1 2 Keypad           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMPWRSPUS,Milliflex Oasis power supply - USA         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXHEADMM1,Milliflex PLUS head f Mfx Oasis funnels        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79171,"ASSY, PIPETMAX 268 TIP EJECT SOLENOID         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9019353,"FLAP, COOLING, RGQ            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
0120214-2X5L,BUFFERED PEPTONE WATER IN BAGS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1170850001,MAS-100 Iso NT® Pressure Tes 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1301940021,HY-LITE FREE ATP PENS 50 PENS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454950001,Threaded Pin M3x4 Hexagon Flat Point         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1665050020-CN,TSA 90mm ICR 20 P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA000P2F,M-FC Fecal Coliform Liquid Media Ampoule         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX2504755,"LATEX TUBING 1/4""ID 23"" LENGTH          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPMPCB1,ELECTRONIC BOARD SPRAYER MILL RAPID          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAB250B,"EZ-FIT FUNNEL 250ML BLACK MEMBR. 0,45µM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAW100I,"EZ-FIT FUNNEL 100ML WHITE M. 0,45µM IND        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFLVAL12,EZ-FLUO ON-SITE IQ/OQ AND PQ CONSULTING         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQULTVP2,Quantum/Oasis Validation Protocol US           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYINSTL21,Symbio Installation Remote Training           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASCGPTRG,Protection ring stainless steel SH CG Ex        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM03600000045,"PUMP, WASTE, ETS 15           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10045038,LIGHT BARRIER W/ RED CONNECTOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1037840001,"EGG YOLK EMULSION STERILE, FOR MICROBIOL         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1043270500,YGC/OGY Agar (base) halal (Y 500 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1451670001,"Type Plate (APC ST, RCS HFT) 1 PC       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RSMEDEV01,Rapid Micro Feasibility            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
BWLAB0RPB,BioM On-Site Repair Labor 1/2h Priority         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MSNPMSTD11,MilliSnap OS Prev Maint w/o contract         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITEFUN1,MANIFOLD 1-PLACE FOR EZ-FIT FILTR. UNITS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
900000270534,ST SYMB FLE INT KIT HIGH ROUND        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM03600000027,"PUMP, DISPENSE, BUFFER, EMS10           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1052220500,KANAMYCIN ESCULIN AZIDE AGAR FOR MICROBI         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1102131000,TRYPTOSE FOR MICROBIOLOGY 1 KG          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1106619025,MRS-BROTH LACTOBACILLUS BROTH ACC. TO DE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1171440001,MAS-100 Iso MH® Control un 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1171550001,MAS-100 Iso MH® Control un 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1453830001,Cap IR Preamplifier 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454860001,"Pump Assembly, ErgoTouch 1 ST          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPSLS01,SLEEVE PROTECTOR FOR ONE MILLIFLEX PUMP         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQTV0KT2,MFX Quantum reagent Kit (HAWG/250ML)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ESHKEYPAD,ESH Keypad             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1096280500,BUFFERED LISTERIA ENRICHMENT BROTH BASE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1172920001,MAS-100 Iso MH® Profinet One 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1453280001,"Housing, RCS Plus Ex 1 PC         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1461890020,ReadyPlate CT BPA ISO 6888 241E-20P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464040006,"ReadyTube™225 BPW ISO 6579, ISO 6887         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1465720012,Thioglyc.-B. w. Tween conc. -12P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467620150,ReadyPlate55 KIT TGE Agar 150P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1665100020-CN,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPTUBVHP,VHP TUBES SET FOR MILLIFLEX FLUIDIC HUB        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ADAPTSP10,ADAPTER FOR AUTOSPRAY STATION           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITMAKIT,EZFIT MANIFOLD MAINTENANCE KIT INCLUDES          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EMSEMIN11,EM School at customer site          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBFINSTAL,Symbio Flex Installation in Isolator          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000003044,MAS-100 NT Ex WS Total Service Plan        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBDTCC3,ST SYMBIO DR TRAY CONT LFH 3 CURVED OUTL      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAW100IP,EZ FIT Blue Funnel HAWG 100ml w/Plug        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ASPMATM04,MAS-100 Atmos®  WS Total service plan         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASIS0MBR,Mounting bracket for MAS-100 Iso NT fan        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM03970000012,"BOTTLE, SQUARE, PVC, 2000 mL, W/O CAP        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1012990001,READYCULT ENTEROCOCCI 100 20 TESTS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1014925000,L(+)-ARABINOSE FOR MICROBIOLOGY            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1043160500,Buffered Peptone Water halal 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1108780500,COUNT AGAR SUGAR FREE FIL-IDF FOR MICROB        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1468130006,Luria Broth -6P            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXSMCTS48,MILLIFLEX AGAR CASSETTES (TSA)           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZSLPCB01,LED AND TACTILE SWITCH PCB          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MP3PMSTD01,Mfx+ 3 Head Prev Maint w/o contract        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RENTALMM1,Milliflex Oasis pump rental           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MATRESIQUIM0D,NEP Control RESIQUIMOD            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9020334,"RGQ, PCB-SENSOR W THERMAL FUSE, RGQII         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10043663,BCL8 SCANNER W/ HOUSING           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1037850001,"EGG YOLK TELLURITE EMULSION STERILE, FOR         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1138859025,YEAST EXTRACT POWDER FOR MICROBIOLOGY          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467570020,ReadyPlate 55 CCA ISO 9308 20P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1468030200,Veg. Pept.Agar w. LTHThio cont.-ICR+          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MS0PNMS01,MSOpener SST Filter Support for Manifold         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX631K115,"Single Inc Field Kit, 115V          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCURVP0W,EXTERNAL POWER SUPPLY FOR DISPENSER.          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFLEA3,ST SYMBIO ACCESSOR FLEX 3 MED         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSC0NSUL12,Steritest advanced PQ consultancy           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHRFAN,U-radial fan for MAS-100 Iso MH         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASCGC0SL,Cover seal for MAS-100 CG Ex         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMPWRSPJP,Milliflex Oasis power supply - Japan         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463740006,ReadyTube™ 400 Yeast Extract ISO 6222         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465540020,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA00P2TT,Total Count Liquid Media Ampoule          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ESMEDEV11,EZ-Fluo On Site Evaluation           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCBELTKT,DRIVING BELT             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPSCVHP,MFX+ VHP SUPPLY CONNECTOR           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBSTR0TNS,"STATOR OUPUT TRANS,SYSTM, ROTOR RING          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBCHE01,EQUINOX HUB HOLDER ADAPTER LFH          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MPI3PMSTD05,Mfx VHP 3 hd WS verif w/o service plan      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79162,"ASY,PIPETMAX 268 X-AXIS, SA           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1018000500,ALKALINE PEPTONE WATER FOR MICROBIOLOGY          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1041430001,SINGLEPATH CAMPYLOBACTER RAPID TEST FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1051780500,"TBG BROTH, MODIFIED TETRATHIONATE BRILLI          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1104260500,"COLIFORM AGAR FOR MICROBIOLOGY (26,5 G F        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1109880500,PSEUDOMONAS AGAR P BASE FOR MICROBIOLOGY         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1323690001,Anaerocult® A mini 25 X 1 SET        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1440190020,Contact Slides C 20 UNITS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442200001,Floor Plate 1 ST           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442430050,Agar Strips SDX 50 ST          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1462400020,Cont. A. Tr. Soy-RT EP+USP 235E-20P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MB000000T,TOTAL COUNT DEHYDRATED MEDIA 100GM          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVHABG124,MICROFIL V HABG Q24           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MISP00005,MICROFIL SUPPORT SPARE SCR           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZHVAB205,Steritest® NEO ANTIBIOTICS PVDF DP          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCSTIKER,STICKER              ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFPMSTD05,EZ-Fluo WS verif w/o service plan         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000021135,ReadyStream® OS Total service plan          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHCKIT,Caps kit for MAS-100 Iso MH         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
DLCFISP01,DiluCult 1 Display board           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ESHSHKABS,ESH Shock Absorbers Kit           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78031,Analog PCB Mounting Screw           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9019347,"MOTOR, 12VDC HEATER FAN, RGQ          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1038590500,KLIGLER agar acc. FDA-BAM Gr 500 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1043260500,Tryptic Soy Broth halal acc. 500 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1092930100,KOVACS INDOLE REAGENT FOR MICROBIOLOGY          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1106850500,DEV GELATIN AGAR FOR MICROBIOLOGY (50 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1194730001,O-Ri MAS-100 up 40x1.5 0.6 1 PC x7       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1460750120,HEIMPLATE™ R2A             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1461810100,Rappaport Vassil.-B. acc. EP 3922R-100P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
CNHASV210,STERILTY TESTING DEVICE FOR VIALS 10/PK         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXSMEND48,MILLIFLEX AGAR CASSETTES (M ENDO)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MISP00101,EZ PAK DRIVING KIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPLTVHP,MFX+ VHP BOTTOM PLATE           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
