Record Id,Account Segmentation Name,Account Segmentation Owner.id,Account Segmentation Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Tag,Unsubscribed Mode,Unsubscribed Time,Is Uni?,Department (ภาควิชา),Faculty (คณะ),Products,Account Code,Original Account Record.id,Original Account Record,Note,Business Sector,Activities,Secondary Industry,Primary Industry,Locked,Website,Winspeed CUSTID,Connected To.module,Connected To.id
zcrm_4312195000052814374,"SMC FOOD (THAILAND) CO.,LTD.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SMC,zcrm_4312195000012355814,"SMC FOOD (THAILAND) CO.,LTD.",ผลิตผงโกโก้ ชนิดผง หางนมผง,เอกชน,Manufacturing,Milk based,Food and Beverage,false,,150064,,
zcrm_4312195000052814375,บริษัท ศารายา เอ็มเอฟจี (ไทยแลนด์) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Personal care,ZH-SARA,zcrm_4312195000012355812,บริษัท ศารายา เอ็มเอฟจี (ไทยแลนด์) จำกัด,สบู่,เอกชน,Manufacturing,,Consumer Goods,false,,150062,,
zcrm_4312195000052814376,บริษัท สตาร์คอร์ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Metal,ZH-STCO,zcrm_4312195000012355811,บริษัท สตาร์คอร์ จำกัด,เหล็กรีดเย็น,เอกชน,Manufacturing,,Manufacturing,false,,150061,,
zcrm_4312195000052814377,ห้างหุ้นส่วนจำกัด สุวัฒน์ฟาร์มาซี,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SUWAT,zcrm_4312195000012355810,ห้างหุ้นส่วนจำกัด สุวัฒน์ฟาร์มาซี,,เอกชน,Distribution,,Scientific Distributor,false,,150060,,
zcrm_4312195000052814378,บริษัท โตดี โฟรเซ่น ฟูดส์ คอร์ปอเรชั่น จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-TOHDEE,zcrm_4312195000012355809,บริษัท โตดี โฟรเซ่น ฟูดส์ คอร์ปอเรชั่น จำกัด,ค้าอาหารและให้บริการห้องเย็น,เอกชน,Manufacturing,,Food and Beverage,false,,150059,,
zcrm_4312195000052814379,บริษัท เควกเกอร์ ฮาวท์ตัน (ไทยแลนด์) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-THHOU,zcrm_4312195000012355808,บริษัท เควกเกอร์ ฮาวท์ตัน (ไทยแลนด์) จำกัด,สารเคมีสำหรับผลิตโลหะและชิ้นส่วนอุตสาหกรรมยานยนต์,เอกชน,Manufacturing,Automotive,Chemical manufacturer,false,,150058,,
zcrm_4312195000052814380,บริษัท ไทเท็กซ์ เอเซีย จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-TITEX,zcrm_4312195000012355807,บริษัท ไทเท็กซ์ เอเซีย จำกัด,"ผ้าพื้นรองเท้า, ผ้าพัดสายไฟในรถยนต์",เอกชน,,,Textile,false,,150057,,
zcrm_4312195000052814381,บริษัท ไทยจรัส เพ้นท์ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Paint,ZH-THJA,zcrm_4312195000012355806,บริษัท ไทยจรัส เพ้นท์ จำกัด,สี,เอกชน,Manufacturing,Paint,Chemical manufacturer,false,,150056,,
zcrm_4312195000052814382,บริษัท ไทย เอ็มเอ็มเอ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SCG-MMA,zcrm_4312195000012355805,บริษัท ไทย เอ็มเอ็มเอ จำกัด,พลาสติก อิคริลิก,เอกชน,,,Plastic and Rubber,false,,150055,,
zcrm_4312195000052814383,Thai Oil Public Company Limited,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-THOIL,zcrm_4312195000012355804,Thai Oil Public Company Limited,โรงกลั่นน้ำมัน,เอกชน,"Petroleum extraction, refinery",,Petroleum,false,,150054,,
zcrm_4312195000052814384,"TOSHIMA (THAILAND) CO.,LTD",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Parts,ZH-TOSHI,zcrm_4312195000012355803,"TOSHIMA (THAILAND) CO.,LTD",โลหะชิ้นส่วนยานยนต์,เอกชน,Manufacturing,,Automotive,false,,150053,,
zcrm_4312195000052814385,บริษัท ไทยโพลิเอททีลีน จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SCG-TPE,zcrm_4312195000012355802,บริษัท ไทยโพลิเอททีลีน จำกัด,พลาสติก,เอกชน,,,Plastic and Rubber,false,,150052,,
zcrm_4312195000052814386,"AGC CHEMICALS (THAILAND) CO., LTD.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-AGC,zcrm_4312195000012355801,"AGC CHEMICALS (THAILAND) CO., LTD.","วัตถุดิบผลิตกระจก,ก๊าศและตัวทำละลาย",เอกชน,Manufacturing,,Chemical manufacturer,false,,150051,,
